Probe Name,Accession #,NS Probe ID,Class Name,Analyte Type,% Samples above Threshold,Annotation,PBMC mock1,PBMC mock2,PBMC mock3,2330L 6h1,2330L 6h2,2330L 6h3,2330H 6h1,2330H 6h2,2330H 6h3,2383L 6h1,2383L 6h2,2383L 6h3,2383H 6h1,2383H 6h2,2383H 6h3,2330L 24h1,2330L 24h2,2330L 24h3,2330H 24h1,2330H 24h2,2330H 24h3,2383L 24h1,2383L 24h2,2383L 24h3,2383H 24h1,2383H 24h2,2383H 24h3
Atg8,NM_007285.6,Atg8,Endogenous,mRNA,100,,1020.02,719.46,837.04,985.15,780.8,850.79,912.23,989.93,895.76,837.28,876.36,1021.64,850.24,800.9,1036.11,1114.38,872.01,909.9,1036.44,756.76,846.26,888.69,784.79,747.59,904.62,932.41,1085.82
BAD,NM_004322.3,BAD,Endogenous,mRNA,76.92,,20,20,20,145.28,20,84.85,151.54,20,118.95,147.02,20,162.08,20,20,114.68,75.81,20,104.51,136.49,117.22,85.53,117.83,20,92.18,94.98,20,20
BAX,NM_138761.3,BAX,Endogenous,mRNA,100,,1696.14,1714.76,1405.66,1625.27,1239.86,1031.04,1128.78,1509.78,1232.33,1007.42,1181.05,1293.66,1021.83,1173.34,1372.25,1349.39,1028.81,1069.86,1360.59,1229.67,1022.5,995.23,1309,980.82,1266.46,1207.4,1057.59
BCL-2,NM_000657.2,BCL-2,Endogenous,mRNA,61.54,,233.15,219.36,189.41,263.31,162.7,206.23,172.8,188.03,188.99,230.6,185.99,407.39,196.56,285.84,280.78,246.38,177.08,289.28,285.77,304.43,250.02,201.33,407.09,315.46,212.59,206.47,304.3
BCLXL,NM_001191.3,BCLXL,Endogenous,mRNA,100,,332.23,307.1,335.37,249.69,241.34,232.83,195.84,226.74,245.19,250.14,264.91,212.15,227.32,208.18,181.91,216.05,269.77,253.45,191.93,233.39,298.04,236.72,239.27,173.73,212.59,236.94,155.53
BDNF,NM_170732.4,BDNF,Endogenous,mRNA,48.08,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BLNK,NM_013314.2,BLNK,Endogenous,mRNA,57.69,,343.89,20,314.83,299.63,263.14,363.16,230.54,204.62,299.57,274.9,311.8,235.86,287.75,253.01,261,272.91,311.34,332.54,294.3,165.27,297.01,390.41,320.3,325.03,321.14,308.44,239.42
BMAL1 (ARNTL),NM_001030272.1,BMAL1 (ARNTL),Endogenous,mRNA,100,,512.92,298.32,329.88,476.69,378.03,310.45,430.84,414.77,329.51,409.42,398.67,436.33,313.73,438.75,605.06,519.29,446.95,300.85,460.64,486.69,305.12,400.01,436.23,323.79,443.26,330.88,381.9
CASP3,NM_004346.3,CASP3,Endogenous,mRNA,100,,862.64,814.05,608.23,644.66,592.05,725.81,827.92,741.06,668.46,621.78,542.37,651.18,527.59,564.42,585.28,663.32,478.79,709.18,652.57,736.87,754.78,505.95,553.18,564.53,710.12,638.97,671.94
CASP8,NM_001228.4,CASP8,Endogenous,mRNA,100,,2261.52,2024.61,1885.56,2401.58,2026.26,1973.7,1662.14,2178.95,1805.03,2097.8,2020.87,1869.3,1744.35,1720.39,2044.54,2122.63,1835.26,1970.39,2422.62,2114.57,2208.43,2049.31,1760.36,1871.02,2071.57,2093.92,1584
CASP9,XM_011542270.1,CASP9,Endogenous,mRNA,100,,186.52,459.5,176.42,199.75,164.44,188.09,361.98,193.56,205.74,197.79,171.84,349.76,158.58,258.21,158.18,151.62,107.21,217.1,183.4,277.05,244.51,130.59,290.57,161.22,167.35,219.02,352.95
CAT,NM_001752.2,CAT,Endogenous,mRNA,100,,909.27,1037.95,785.64,771.78,762.28,1046.03,949.93,824.02,859.94,1068.78,725.16,1045.66,669.22,840.59,798.83,1103.01,785.64,941.09,938.34,842.9,876.86,760,1113.01,793.84,805.11,699.75,965.9
CCT2,NM_006431.2,CCT2,Endogenous,mRNA,100,,1573.74,1152.91,1467.37,1416.44,1387.31,1697.13,1540.03,1460.01,1580.33,1638.52,1602.93,1437.06,1387.75,1577.43,1415.75,1561.65,1385.74,1665.62,1582.38,1577.18,1665.41,1504.97,1574.12,1523.32,1365.97,1324.95,1439.4
CCT5,NM_012073.3,CCT5,Endogenous,mRNA,100,,693.61,674.14,496.17,544.78,452.27,611.89,796.6,514.32,651.5,669.51,470.99,583.78,383.9,591.08,435.01,428.32,490.43,536.43,473.44,668.45,625.71,407.9,561.21,477.74,502.06,473.24,854.26
CCT6A,NM_001762.3,CCT6A,Endogenous,mRNA,100,,2296.5,2250.21,1759.57,2038.4,1688.28,2331.86,1289.75,2046.22,2009.35,2224.55,1503.84,1413.32,1648.45,1459.26,1728.17,1804.24,1586.64,2040.19,1774.32,1362.23,2637.26,1624.91,1159.19,2229.33,1465.48,1604.52,1262.61
CCT7,NM_001009570.2,CCT7,Endogenous,mRNA,100,,670.3,574.64,488.88,572.02,538.56,815.27,562.12,553.03,795.35,678.28,442.62,519.11,450.16,510.99,648.56,670.9,494.71,632.35,648.31,483.76,887.84,445.65,516.61,723.75,787.02,602.52,604.44
CCT8,NM_006585.2,CCT8,Endogenous,mRNA,100,,1119.1,1149.96,1465.52,1007.85,1391.46,1470.02,1392.4,1271.98,1481.99,1454,1456.36,1401.65,1477.7,1388.17,1040.06,1178.82,1444.36,1436.91,1143.07,1241.69,1610.8,1384.1,1105.92,1289.65,1162.43,1217.53,1351.37
CD36,NM_000072.3,CD36,Endogenous,mRNA,59.62,,2762.79,2473.71,1800.17,1834.1,1455.81,1739.77,1404.88,1548.49,1500.95,1997.51,1528.84,2006.93,1174.12,1687.2,1676.76,2005.13,1455.04,1913.16,1177.19,1169.99,1008.23,698.3,1023.13,904.07,556.34,445.14,480.73
CD40,NM_001250.4,CD40,Endogenous,mRNA,59.62,,332.23,206.17,351.85,245.15,312.72,252.02,221.83,304.17,222.07,243.98,289.47,316.11,289.88,290.11,304.51,356.3,384.77,291.04,405.19,314.6,326.97,356.14,350.57,206.52,357.32,333.63,299.49
CETP,NM_000078.2,CETP,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CFOS,NM_005252.3,CFOS,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CLOCK,NM_004898.2,CLOCK,Endogenous,mRNA,73.08,,20,20,150.13,113.5,20,98.23,104.94,20,20,20,20,20,76.8,99.81,83.05,106.13,20,20,93.83,20,88.4,87.27,20,81.66,113.08,20,20
COL1A1,NM_000088.3,COL1A1,Endogenous,mRNA,48.08,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
COL1A2,NM_000089.3,COL1A2,Endogenous,mRNA,42.31,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,94.98,20,20
COL4A1,NM_001845.4,COL4A1,Endogenous,mRNA,40.38,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
COL4A4,NM_000092.4,COL4A4,Endogenous,mRNA,11.54,,157.37,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,119.05,20,20,20,20,20,20,20
COL4A5,NM_000495.4,COL4A5,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
CRY,NM_004075.3,CRY,Endogenous,mRNA,100,,658.64,392.95,406.51,422.21,341.62,455.59,497.03,486.67,416.73,510.89,407.93,379.15,402.28,476.88,640.65,473.8,389.86,425.34,490.5,399.26,548.46,427.42,401.6,402.37,493.02,451.6,494.44
CSF1R,NM_005211.3,CSF1R,Endogenous,mRNA,59.62,,617.84,670.05,379.41,658.28,405.43,685.44,644.46,553.03,710.56,724.84,465.15,709.57,420.14,636.31,549.69,598.89,394.34,774.8,392.4,427.76,450.39,228.32,415.7,334.08,226.15,170.29,298.31
CTSK,NM_000396.2,CTSK,Endogenous,mRNA,100,,3095.02,2582.66,2816.34,1847.72,2203.45,1693.56,2224.67,2245.31,1594.03,1300.1,1817.18,1822.11,1832.5,1669.84,1617.44,1626.09,1483.91,1181.02,524.62,523.91,501.47,536.04,606.71,464.57,298.52,311.88,282.38
DDC,NM_000790.3,DDC,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
DYNLL2,NM_080677.2,DYNLL2,Endogenous,mRNA,100,,1795.23,1330.52,984.76,1647.97,1113.22,911.93,1026.12,1648.04,976.56,997.95,1149.28,1112.88,1038.65,1143.51,1743.99,1895.21,1127.77,1032.81,1808.44,1184.88,1190.17,1140.07,1169.23,934.4,1669.02,1297.87,1117.77
EDN1,NM_001168319.1,EDN1,Endogenous,mRNA,55.77,,20,20,61.27,20,20,20,20,20,20,20,46.58,20,20,20,20,20,20,20,20,20,150.51,33.73,20,20,20,20,20
ELN,NM_000501.1,ELN,Endogenous,mRNA,40.38,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ERBB2,NM_001005862.1,ERBB2,Endogenous,mRNA,51.92,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,39.16,20,20,20,247.12,20
ERCC1,NM_001983.3,ERCC1,Endogenous,mRNA,96.15,,221.49,20,257.26,204.29,273.42,132.94,153.53,342.88,156.18,195.19,223.77,104.71,198.41,111.95,205.64,257.75,233.1,148.33,204.73,116.12,186.71,239.26,20,169.46,221.63,201.33,172.73
ERCC6,NM_001277058.1,ERCC6,Endogenous,mRNA,98.08,,157.37,20,245.13,181.59,228.84,177.41,237.46,193.56,160.23,127.74,167.46,284.41,252.15,341.53,233.32,151.62,216.78,159.07,298.56,295.69,147.53,219.18,261.51,106,230.68,308.93,281.49
EndoG,NM_004435.2,EndoG,Endogenous,mRNA,100,,256.46,228.24,203.38,267.85,253.25,177.62,280.49,237.8,186.12,170.79,174.36,242.82,160.92,177.85,229.37,212.26,153.8,141.56,264.44,186.51,191.63,169.34,162.37,261.6,244.25,241.4,233.04
F3,NM_001993.4,F3,Endogenous,mRNA,48.08,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FBN1,NM_000138.3,FBN1,Endogenous,mRNA,44.23,,20,20,20,20,71.51,20,20,20,20,20,20,20,20,20,20,20,51.59,20,20,20,20,20,20,20,20,20,20
FGF2,NM_002006.4,FGF2,Endogenous,mRNA,40.38,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FLG-F,NM_002016.1,FLG-F,Endogenous,mRNA,59.62,,139.89,20,89.74,20,20,20,20,20,20,20,20,20,20,20,20,79.6,20,20,20,85.01,52.13,40.88,20,20,20,20,20
FOXO,NM_002015.3,FOXO,Endogenous,mRNA,63.46,,722.76,726.8,569.2,608.34,536.21,784.41,630.87,602.81,639.11,823.76,645.36,618.31,631.32,574.82,525.96,511.71,609.53,676.54,631.25,605.77,758.56,665.15,698.97,826.97,529.2,575.79,751.51
GBA,NM_001005742.2,GBA,Endogenous,mRNA,100,,1358.08,645.36,875.87,1094.11,823.78,1001.86,783.58,1183.49,853.26,946.47,753.01,892.33,756.56,714.23,1012.38,1307.69,718.18,1003.27,861.57,555.63,699.29,564.37,454.89,680.08,529.2,487.22,409.3
GPX1,NM_000581.2,GPX1,Endogenous,mRNA,100,,5770.38,5654.38,5372.28,4807.71,4690.84,4329.7,5858.63,5275.93,4786.01,4240.81,4343.97,4908.18,3804.06,4139.91,3835.98,4336.23,4158.31,3786.62,2793.69,3105.11,2287.67,2458.62,3167.5,2311.8,1926.83,2137.89,1981.67
GRK5,NM_005308.2,GRK5,Endogenous,mRNA,98.08,,244.8,321.02,209.48,240.61,254.28,251.52,470.9,265.46,291.16,179.64,213.87,258.73,191.39,306.88,233.32,235.01,229.54,184.74,221.79,275.61,178.64,221.36,401.62,174.45,303.05,218.9,20
Glut4,NM_001042.2,Glut4,Endogenous,mRNA,1.92,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,158.31,20,20
HAS2,NM_005328.2,HAS2,Endogenous,mRNA,44.23,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,101.57,57.25,20,20,20,20,20,20
HAS3,NM_138612.2,HAS3,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ICAM1,NM_000201.2,ICAM1,Endogenous,mRNA,80.77,,268.12,231.32,126.71,272.39,201.47,314.33,290.42,320.76,402.88,332.84,219.74,209.73,200.01,238.31,268.91,242.59,156.96,370.08,204.73,221.51,221.8,111.83,174.84,252.7,153.78,145.79,20
IFNG,NM_000619.2,IFNG,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IGF1,NM_000618.3,IGF1,Endogenous,mRNA,21.15,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IGF1R,NM_000875.4,IGF1R,Endogenous,mRNA,96.15,,20,143.57,199.81,149.82,172.07,139.7,152.83,171.44,196.96,216.4,200.98,134.47,137.61,98.85,146.32,20,124.38,168.6,85.3,84.22,132.78,120.43,107.65,99.22,167.35,152.87,103.17
IGF2BP3,NM_006547.2,IGF2BP3,Endogenous,mRNA,25,,134.06,20,139.07,20,20,20,20,20,20,20,68.52,20,20,20,20,20,20,83.84,85.3,20,74.52,59.54,20,100.57,20,20,20
IL-10,NM_000572.2,IL-10,Endogenous,mRNA,13.46,,186.52,20,68.53,20,40.91,20,20,20,20,20,20,20,20,20,20,106.13,49.83,22.33,20,20,20,29.34,20,20,20,20,20
IL-16,NM_004513.4,IL-16,Endogenous,mRNA,61.54,,2354.78,2635.87,2854.74,2524.16,3082.46,2886.7,2387.21,2234.25,2892.75,3328.89,3335.97,2594.05,3383.58,2364.58,2222.5,2528.21,3172.37,3537.97,2358.65,2432.53,3795.55,3690.29,2710.67,3973.45,2225.36,3282.82,2221.7
IL-18,NM_001562.3,IL-18,Endogenous,mRNA,84.62,,238.98,195.65,230.72,163.43,137.25,218.74,271.26,237.8,216.25,203.37,157.31,170.3,166.42,193.5,177.96,216.05,143.44,225.36,110.89,199.84,149.87,101.16,144.75,188.72,158.31,20,20
IL-1B,NM_000576.2,IL-1B,Endogenous,mRNA,50,,116.57,20,20,213.37,268.65,227.14,227.15,176.97,228.74,147.74,148.15,20,175.78,209.3,150.28,83.39,156.16,100.21,98.1,166.82,104.94,103.57,20,112.45,99.51,116.89,20
IL-6,NM_000600.3,IL-6,Endogenous,mRNA,48.08,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IL-8,NM_000584.3,IL-8,Endogenous,mRNA,86.54,,5665.47,4834.77,4748.23,15462.76,14770.03,14119.84,32522.24,26667.24,22630.24,15435.25,15985.26,20242.63,12362.82,15004.65,13936.08,8971.91,7913.69,6784.08,11763.37,12144.03,8988.13,6735.79,7539.91,5196.96,9095.92,8315.27,9524.78
IL12A,NM_000882.2,IL12A,Endogenous,mRNA,23.08,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IL13,NM_002188.2,IL13,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IL1R1,NM_000877.3,IL1R1,Endogenous,mRNA,88.46,,419.66,324.29,297.81,231.53,222.88,206.65,223.03,221.21,184.65,147.93,210.48,199.13,162.25,169.7,170.05,208.47,180.28,157.73,179.14,164.31,98.97,93.48,73.24,75.13,20,113.62,20
IL23,NM_016584.2,IL23,Endogenous,mRNA,21.15,,20,20,20,90.8,20,157.02,20,20,20,183.69,20,20,20,20,20,20,20,20,110.89,112.71,116.07,98.37,20,20,20,20,20
IL3,NM_000588.3,IL3,Endogenous,mRNA,3.85,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,60.73,20,20,20,20,117.17,20
IL4,NM_000589.2,IL4,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
IL4R,NM_000418.3,IL4R,Endogenous,mRNA,100,,326.41,244.07,272.01,304.17,281.42,283.29,200.82,270.99,229.92,366.28,263.53,205.45,235.95,130.04,304.51,295.65,294.1,213.89,315.62,162.74,214.92,261.62,181.35,277.96,257.82,180.48,132.67
IL5RA,NM_000564.4,IL5RA,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
KPNB1,NM_002265.4,KPNB1,Endogenous,mRNA,100,,1008.36,632.07,879.67,803.55,928.44,979.39,940.53,956.75,783.25,811.59,914.27,990.54,904.5,1113.81,1253.61,1402.45,939.06,861.15,1343.53,963.96,857.75,1021.2,1153.28,824.37,1153.39,941.56,1020.8
KROX20,NM_000399.4,KROX20,Endogenous,mRNA,21.15,,20,20,20,20,67.07,75.05,20,20,20,20,20,20,20,20,20,121.29,61.95,104.67,110.89,20,20,31.93,20,20,20,20,20
Keratin 10,NM_000421.3,Keratin 10,Endogenous,mRNA,7.69,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Keratin 14,NM_000526.4,Keratin 14,Endogenous,mRNA,1.92,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Krt1,NM_006121.2,Krt1,Endogenous,mRNA,1.92,,116.57,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
LDLR,NM_001195800.1,LDLR,Endogenous,mRNA,100,,594.52,494.3,476.86,572.02,432.27,450.22,327.09,492.2,410.88,425.65,374.59,378.46,373.58,351.84,474.55,598.89,502.28,496.58,452.11,343.96,430.87,407.3,334.06,353.56,388.99,308.03,420.56
LIF,NM_002309.4,LIF,Endogenous,mRNA,9.62,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,57.59,20,20,20,20,20
LOX,NM_002317.5,LOX,Endogenous,mRNA,59.62,,338.06,20,247.59,20,20,20,20,20,20,20,20,20,83.59,20,20,20,20,20,20,103.83,89.5,51.81,20,20,20,20,20
MALT1,NM_006785.2,MALT1,Endogenous,mRNA,100,,1107.45,1079.01,940.66,1048.71,899.58,959.59,884.24,807.43,701.3,774.6,888.96,1056.39,943.45,900.7,897.7,894.54,962.05,868.24,934.07,1049.44,855.37,1053.09,994.28,717.72,1044.83,902.08,1001.23
MC1R,NM_002386.3,MC1R,Endogenous,mRNA,9.62,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MITF,NM_000248.3,MITF,Endogenous,mRNA,59.62,,373.03,311.89,249.99,313.25,208.9,151.59,279.98,348.41,120.93,150.96,273.64,350.75,186.48,320.64,336.14,500.33,209.16,142.03,349.74,277.83,90.85,117.3,211.56,72.46,189.97,88.53,254.57
MLH1,NM_000249.2,MLH1,Endogenous,mRNA,100,,489.61,335.95,323.58,463.07,369.11,351.8,319.79,276.52,376.69,373.45,334.81,310.24,320.02,267.45,387.55,303.23,270.58,408.14,302.83,285.96,316.01,245.41,378.41,378.9,262.34,243.85,253.08
MMP1,NM_002421.3,MMP1,Endogenous,mRNA,40.38,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
MMP2,NM_001127891.1,MMP2,Endogenous,mRNA,48.08,,20,20,20,20,20,20,20,165.91,353.25,20,20,20,20,20,20,75.81,20,463.29,20,20,20,20,20,20,20,20,20
MMP9,NM_004994.2,MMP9,Endogenous,mRNA,59.62,,1060.82,930.36,1099.51,690.06,687.23,1068.97,970.6,696.82,1289.3,1245.89,736.58,947.4,749.67,819.54,668.33,1186.4,1372.25,2036.22,661.1,698.28,935.9,766.94,733.4,1014.72,506.59,429.46,421.19
MPG,NM_001015052.1,MPG,Endogenous,mRNA,100,,355.55,254.56,311.56,272.39,344.37,289.86,209.65,287.58,342.79,329.53,248.68,200.5,271.58,212.4,276.82,246.38,265.05,297.88,196.2,203.14,293.21,253.33,201.67,364.62,230.68,279.99,129.21
MRPS5,NM_031902.3,MRPS5,Endogenous,mRNA,100,,1002.53,839.92,1130.72,935.21,1127.18,887.16,955.09,1000.99,991.55,878.07,1064.69,994.8,1149.33,1006.91,1012.38,1008.25,1018.64,852.18,942.61,909.22,807.67,1006.74,956.02,566.92,841.29,1195.18,885.52
MSH2,NM_000251.1,MSH2,Endogenous,mRNA,100,,612.01,555.61,591.34,513,492.08,333.37,403.59,503.26,389.02,396.88,433.78,453.61,478.34,535.24,458.74,492.75,441.23,387.76,452.11,460.65,429.59,447.17,549.26,383.31,515.63,524.76,575.57
MSH6,NM_000179.1,MSH6,Endogenous,mRNA,100,,442.98,296.99,215.72,394.97,300.12,314.68,259.25,414.77,328.21,408.01,273.52,329.92,277.25,288.68,391.51,439.69,255.87,353.16,375.34,430.43,541.19,212.27,388.29,399.08,411.6,360.05,290.25
MSR,NM_002454.2,MSR,Endogenous,mRNA,100,,507.09,351.6,220.35,390.43,289.07,372.33,469.08,492.2,328.08,378.48,343.77,388.49,393.49,420.66,490.37,481.38,277.91,339.6,486.23,477.89,366.97,269.87,387.29,352,488.49,346.45,958.98
NADSYN,NM_018161.4,NADSYN,Endogenous,mRNA,90.38,,163.2,207.17,20,154.36,147.35,128.56,163.2,165.91,161.21,171.73,127.69,155.45,138.16,181.99,185.87,128.87,99.63,126.11,196.2,159.62,146.21,142.48,182.95,179.64,90.46,207.65,159.55
NCK1,NM_006153.3,NCK1,Endogenous,mRNA,100,,792.7,512.17,512.16,567.48,569.7,589.59,874.18,801.9,666.45,650.78,571.64,869.34,516.89,668.65,612.97,674.69,545.35,617.03,686.69,644.03,523.88,439.42,717.66,461.18,655.85,529.89,561.21
NOS3,NM_000603.4,NOS3,Endogenous,mRNA,0,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
OGG1,NM_002542.5,OGG1,Endogenous,mRNA,100,,437.15,324.34,462.7,349.57,368,375.44,283.28,287.58,372.76,385.23,400.48,301.18,420.92,280,300.55,371.46,394,438.3,311.36,292.59,426.07,371.08,316.01,424.66,330.19,349.75,337.45
PAF1,NM_019088.2,PAF1,Endogenous,mRNA,100,,495.44,501.4,784.15,481.22,523.39,456.47,540.51,553.03,411.91,437.92,698.48,467.91,606.93,504.2,565.51,648.16,580.09,473.37,622.72,480.14,520.37,709.35,572.58,420.62,601.57,705.27,659.55
PARP1,NM_001618.3,PARP1,Endogenous,mRNA,100,,909.27,1157.84,853.78,907.97,963.37,970.67,774.23,840.61,944.13,983.53,849.02,743.27,864.77,912.92,854.2,951.39,866.02,943.2,1010.85,829.41,1026.62,934.14,866.78,967.25,891.05,1183.48,844.8
PARP2,NM_005484.3,PARP2,Endogenous,mRNA,100,,244.8,195.84,218.09,199.75,111.6,101.34,154.28,199.09,83.13,133.2,123.91,203.66,158.98,175.13,134.46,204.68,163.53,116.97,127.96,185.52,134.32,217.32,184.26,100.22,212.59,173.34,221.72
PDGFC,NM_016205.2,PDGFC,Endogenous,mRNA,86.54,,256.46,230.99,20,190.67,170.18,120.6,168.49,182.5,127.52,143.02,135.18,199.96,113.41,20,118.64,151.62,126.95,134.56,140.75,109.23,102.52,20,121.72,20,20,20,20
PER2,NM_022817.2,PER2,Endogenous,mRNA,21.15,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,63.83,20,20,20,20,20
PLAT,NM_000930.3,PLAT,Endogenous,mRNA,46.15,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
PPAR-a,NM_001001928.2,PPAR-a,Endogenous,mRNA,98.08,,151.55,194.05,166.51,186.13,158.66,228.85,207.46,176.97,266.7,206.36,160.41,201.08,176.23,192.13,197.73,166.78,187.87,241.22,204.73,225.64,294.67,171.64,241.58,275.24,176.4,165.51,20
